length,real_depth,random_depth,real_max_arity,random_max_arity
10,4,5.6,4,2.7
11,4,7.1,5,2.45
6,4,4.35,3,2.2
8,4,5.45,3,2.2
10,5,6.15,3,2.6
19,7,9.2,4,2.85
7,4,4.65,3,2.5
14,6,7.65,4,2.7
6,3,4.65,4,1.95
3,2,2.75,2,1.25
18,8,8.15,5,3.1
14,7,7.1,5,3.2
20,8,9.35,4,3.1
45,9,14.95,9,3.65
9,5,5.95,4,2.3
25,9,10.6,7,3.1
3,2,2.65,2,1.35
9,5,5.55,4,2.6
10,5,6.0,5,2.75
22,6,9.4,6,3.25
5,3,3.55,3,2.2
53,11,15.8,5,3.6
15,10,8.3,3,2.9
6,3,4.45,3,2.1
22,7,9.25,5,3.3
16,5,8.0,6,3.0
19,6,9.4,5,3.05
29,9,11.25,5,3.35
12,5,6.95,5,2.75
5,2,3.45,4,2.15
23,8,9.45,5,3.45
27,10,11.4,10,3.4
25,11,10.0,5,3.15
13,5,7.85,6,2.75
23,8,10.0,4,3.45
21,9,10.0,6,3.2
12,4,6.7,6,2.8
32,7,12.8,7,3.4
31,7,11.95,6,3.65
16,4,8.75,7,2.95
36,9,12.85,7,3.5
20,9,9.5,4,3.15
30,10,11.9,8,3.4
15,9,7.65,4,2.95
38,9,13.45,5,3.6
25,10,9.9,4,3.35
41,11,12.95,8,3.75
24,6,10.25,8,3.35
15,6,8.15,6,2.75
4,2,3.25,3,1.75
9,6,5.4,3,2.6
14,6,7.75,6,2.5
11,5,7.05,3,2.25
9,4,5.25,4,2.55
19,6,8.7,4,3.05
17,7,7.95,3,3.05
42,12,13.9,6,3.45
39,13,14.05,4,3.65
14,6,7.4,5,3.0
28,7,11.6,5,3.25
21,7,9.55,5,3.1
30,7,11.35,8,3.4
26,8,10.55,6,3.25
36,11,13.1,8,3.5
39,10,13.75,5,3.65
21,6,9.85,6,3.35
22,6,9.1,5,3.4
46,10,13.65,7,3.7
35,10,12.8,4,3.4
27,10,11.45,5,3.5
4,2,3.15,3,1.85
50,13,16.5,5,3.7
18,5,8.45,4,3.25
24,13,10.65,6,3.25
9,5,5.95,4,2.45
34,10,12.15,6,3.55
27,8,10.2,5,3.3
11,4,6.7,5,2.6
