length,real_depth,real_avg_depth,real_arity,real_entropy,real_dl,real_ic,real_wic,real_pic,real_lca,random_depth,random_avg_depth,random_arity,random_entropy,random_dl,random_ic,random_wic,random_pic,random_lca
51,19,8.490196078431373,5,1.2869829425113584,3.12,0.98,1.38,12.423529411764706,3.2619607843137253,17.2,9.119607843137254,3.85,1.2430864041314191,17.197,10.528,16.232999999999997,13.100549019607843,4.100470588235294
13,6,3.4615384615384617,3,1.1972375015579317,2.3333333333333335,0.3333333333333333,0.6666666666666666,4.871794871794871,0.8589743589743589,7.35,4.4192307692307695,2.75,1.1378969630456472,4.729166666666666,1.9750000000000003,3.029166666666667,4.309615384615384,1.7064102564102561
10,4,2.7,3,1.0888999753452235,2.3333333333333335,0.2222222222222222,0.5555555555555556,3.977777777777778,0.4222222222222222,5.85,3.4900000000000007,2.7,1.083103763812591,3.5333333333333328,1.4555555555555557,2.2722222222222226,3.381111111111111,1.0277777777777775
9,5,2.5555555555555554,5,0.936888307539016,2.625,0.625,1.125,4.0,0.2777777777777778,5.35,3.4333333333333327,2.7,1.0588830341211697,3.275,1.275,1.875,3.0277777777777777,1.1194444444444445
30,10,5.233333333333333,4,1.2842586813824985,3.3793103448275863,0.7931034482758621,1.4827586206896552,8.931034482758621,1.6137931034482758,12.8,6.988333333333334,3.7,1.2298139976901352,10.551724137931034,5.706896551724137,9.287931034482758,9.059425287356321,3.071494252873563
20,11,4.65,7,1.1058898790247633,3.3157894736842106,1.105263157894737,1.368421052631579,7.7,1.2842105263157895,9.0,5.117499999999999,3.25,1.1758113728934982,7.113157894736842,3.6736842105263157,5.889473684210526,6.44421052631579,1.8044736842105262
26,9,4.769230769230769,5,1.2796145649082733,3.4,0.76,1.44,9.061538461538461,1.6953846153846155,10.85,6.084615384615385,3.2,1.203430752866156,8.796000000000001,4.702,7.155999999999999,7.652307692307692,2.520461538461538
28,8,4.428571428571429,4,1.2513307182046136,2.888888888888889,0.8148148148148148,1.1481481481481481,9.44973544973545,0.9417989417989417,11.95,6.542857142857143,3.35,1.2151529145026154,9.268518518518519,5.37962962962963,7.635185185185186,8.370767195767195,2.7776455026455027
16,8,4.1875,4,1.2996509635498974,2.6,0.6666666666666666,0.9333333333333333,6.058333333333334,1.15,8.35,4.790625,2.9,1.160996389756209,5.626666666666667,2.7699999999999996,4.206666666666667,5.186249999999999,1.8395833333333331
13,7,3.3846153846153846,4,1.1189688668816267,1.9166666666666667,0.5,0.5,4.794871794871795,0.5384615384615384,6.95,4.176923076923076,2.85,1.143024178381919,4.566666666666668,2.0791666666666666,3.008333333333333,4.388461538461539,1.4608974358974358
